ID,Title,Authors,Journal,Year,N citations,Group,Taxa,Description condition,Sample size,Setting,Location,Type of feeding site,Diet,N feeding sites,Available/used,NN distance (m),Renewal,Observation method #1,Observation method #2,Observation method #3,Metric type #1,Metric #1,Metric type #2,Metric #2,Metric type #3,Metric #3,Exclusion of revisits,Repetitiveness score,Included
306,Sex differences in individual foraging site fidelity of Campbell albatross,"Sztukowski, LA; Cotton, PA; Weimerskirch, H; Thompson, DR; Torres, LG; Sagar, PM; Knights, AM; Fayet, AL; Votier, SC",MARINE ECOLOGY PROGRESS SERIES,2018,17,Birds,Albatross,,63,Natural,Outdoor,Natural,Piscivore,,None,,Natural,GPS,,,Repetitiveness,Nearest-neighbour distance,,,,,,2,yes
297,How do wild baboons (Papio ursinus) plan their routes? Travel among multiple high-quality food sources with inter-group competition.,"Noser, R., & Byrne, R. W.",Animal Cognition,2010,72,Primates,Baboons,,1G,Natural,Outdoor,Natural,Omnivore,50,Available,100,Natural,Visual observations,GPS,,Repetitiveness,N first visits in common,,,,,,3,yes
331,Topological spatial representation in wild chacma baboons (Papio ursinus),"de Raad, AL; Hill, RA",ANIMAL COGNITION,2019,18,Primates,Baboons,,1G,Natural,Outdoor,Natural,Omnivore,,None,,Natural,Visual observations,,,Repetitiveness,Identifying route network,,,,,,2,yes
61,Reinforcement Learning Enables Resource Partitioning in Foraging Bats,"Goldshtein A, Handel M, Eitan O, Bonstein A, Shaler T, Collet S, Greif S, Medellín RA, Emek Y, Korman A, Yovel Y.",Curr Biol,2020,26,Bats,Bats,,17,Natural,Outdoor,Natural,Nectarivore,414,Available,1,Natural,GPS,Video,,Other,Comparison with model,,,,,No,1,yes
100,"Foraging ecology of the long-nosed bat, Glossophaga soricina, with respect to resource availability","Lemke, T",Ecology,1984,202,Bats,Bats,,6,Natural,Outdoor,Natural,Nectarivore,9,Used,150,Natural,Visual observations,,,Other,Qualitative,,,,,No,3,yes
474,Bat pollination of the terrestrial herb Irlbachia alata (Gentianaceae) in northeastern Brazil,"Machado, ICS; Sazima, I; Sazima, M",PLANT SYSTEMATICS AND EVOLUTION,1998,71,Bats,Bats,,,Natural,Outdoor,Natural,Nectarivore,,None,,Natural,Visual observations,,,Other,Qualitative,,,,,,4,yes
225,"Foraging movements of a frugivorous bat, Carollia perspicillata (Phyllostomatidae)","Heithaus E,Fleming T",Ecological Monographs,1978,245,Bats,Bats,,24,Natural,Outdoor,Natural,,87,None,100,Natural,Radio telemetry,,,Recursion,Site recursion analysis,,,,,,1,no
65,Beyond the utilization distribution: identifying home range areas that are intensively exploited or repeatedly visited,"Benhamou, S., and L. Riotte-Lambert",Ecological Modelling,2012,148,Large herbivores,Buffalos,,1G,Natural,Outdoor,Natural,,,None,,Natural,GPS,,,Recursion,Site recursion analysis,,,,,,1,no
277,Methods for assessing movement path recursion with application to African buffalo in South Africa,"Bar-David S, Bar-David I, Cross PC, Ryan SJ, Knechtel CU, Getz WM.",Ecology,2009,96,Large herbivores,Buffalos,,"1G, 3",Natural,Outdoor,Natural,,,None,,Natural,Visual observations,GPS,,Recursion,Site recursion analysis,,,,,No,1,no
2,Behavior of bumble bee pollinators of Aralia hispida Vent. (Araliaceae),"Thomson JD, Maddison WP, Plowright RC.",Oecologia,1982,173,Insects,Bumblebees,,3,Natural,Outdoor,Natural,Nectarivore,77,Available,1,Natural,Visual observations,,,Other,Qualitative,,,,,No,2,yes
